StudioTestName	ParticipantName	[Gender]Value	RecordingName	RecordingDate	RecordingDuration	MediaName	RecordingTimestamp	LocalTimeStamp	StudioEvent	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (MCSpx)	FixationPointY (MCSpx)	AOI[Rectangle]Hit	AOI[Rectangle 2]Hit	GazePointIndex	GazePointLeftX (ADCSpx)	GazePointLeftY (ADCSpx)	GazePointRightX (ADCSpx)	GazePointRightY (ADCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	PupilLeft	PupilRight	ValidityLeft	ValidityRight	
UnInformative A	ANCAT112	M	ANCAT112	8/4/2012	329681		95	13:16:04.664										1	980	622	955	585	967	603	2.86	3.04	0	0	
UnInformative A	ANCAT112	M	ANCAT112	8/4/2012	329681		112	13:16:04.681		1		Fixation	383					2	984	614	959	585	971	599	2.87	3.01	0	0	
UnInformative A	ANCAT112	M	ANCAT112	8/4/2012	329681		129	13:16:04.697		1		Fixation	383					3	985	621	960	581	972	601	2.85	3.01	0	0	
UnInformative A	ANCAT112	M	ANCAT112	8/4/2012	329681		145	13:16:04.714		1		Fixation	383					4	980	621	952	588	966	604	2.87	3.02	0	0	
UnInformative A	ANCAT112	M	ANCAT112	8/4/2012	329681		162	13:16:04.730		1		Fixation	383					5	979	619	962	585	970	602	2.84	2.99	0	0	
UnInformative A	ANCAT112	M	ANCAT112	8/4/2012	329681		178	13:16:04.747		1		Fixation	383					6	988	622	961	575	974	598	2.83	3.00	0	0	
UnInformative A	ANCAT112	M	ANCAT112	8/4/2012	329681		195	13:16:04.764		1		Fixation	383					7	983	622	960	583	971	602	2.86	2.99	0	0	
UnInformative A	ANCAT112	M	ANCAT112	8/4/2012	329681		212	13:16:04.780		1		Fixation	383					8	985	616	963	582	974	599	2.86	3.01	0	0	
UnInformative A	ANCAT112	M	ANCAT112	8/4/2012	329681		228	13:16:04.797		1		Fixation	383					9	986	618	962	585	974	601	2.86	3.00	0	0	
UnInformative A	ANCAT112	M	ANCAT112	8/4/2012	329681		245	13:16:04.814		1		Fixation	383					10	988	620	957	578	972	599	2.86	2.98	0	0	
UnInformative A	ANCAT112	M	ANCAT112	8/4/2012	329681		262	13:16:04.830		1		Fixation	383					11	984	618	963	583	973	600	2.86	2.99	0	0	
UnInformative A	ANCAT112	M	ANCAT112	8/4/2012	329681		278	13:16:04.847		1		Fixation	383					12	987	614	956	587	971	600	2.84	3.01	0	0	
UnInformative A	ANCAT112	M	ANCAT112	8/4/2012	329681		295	13:16:04.864		1		Fixation	383					13	983	624	961	585	972	604	2.85	3.00	0	0	
UnInformative A	ANCAT112	M	ANCAT112	8/4/2012	329681		312	13:16:04.880		1		Fixation	383					14	981	616	960	573	970	594	2.86	3.00	0	0	
UnInformative A	ANCAT112	M	ANCAT112	8/4/2012	329681		328	13:16:04.897		1		Fixation	383					15	996	614	954	580	975	597	2.88	3.03	0	0	
UnInformative A	ANCAT112	M	ANCAT112	8/4/2012	329681		345	13:16:04.914		1		Fixation	383					16	984	625	963	578	973	601	2.88	3.01	0	0	
UnInformative A	ANCAT112	M	ANCAT112	8/4/2012	329681		362	13:16:04.930		1		Fixation	383					17	980	624	962	587	971	605	2.90	3.02	0	0	
UnInformative A	ANCAT112	M	ANCAT112	8/4/2012	329681		378	13:16:04.947		1		Fixation	383					18	985	626	958	580	971	603	2.89	3.04	0	0	
UnInformative A	ANCAT112	M	ANCAT112	8/4/2012	329681		395	13:16:04.964		1		Fixation	383					19	984	624	959	584	971	604	2.89	3.04	0	0	
UnInformative A	ANCAT112	M	ANCAT112	8/4/2012	329681		412	13:16:04.980		1		Fixation	383					20	988	621	957	580	972	600	2.90	3.04	0	0	
UnInformative A	ANCAT112	M	ANCAT112	8/4/2012	329681		428	13:16:04.997		1		Fixation	383					21	989	624	961	584	975	604	2.90	3.04	0	0	
UnInformative A	ANCAT112	M	ANCAT112	8/4/2012	329681		445	13:16:05.013		1		Fixation	383					22	985	627	959	589	972	608	2.90	3.05	0	0	
UnInformative A	ANCAT112	M	ANCAT112	8/4/2012	329681		462	13:16:05.030		1		Fixation	383					23	990	633	955	590	972	611	2.91	3.06	0	0	
UnInformative A	ANCAT112	M	ANCAT112	8/4/2012	329681		478	13:16:05.047		1		Fixation	383					24	1003	646	957	593	980	619	2.89	3.08	0	0	
UnInformative A	ANCAT112	M	ANCAT112	8/4/2012	329681		495	13:16:05.063		1		Fixation	383					25									4	4	
UnInformative A	ANCAT112	M	ANCAT112	8/4/2012	329681		512	13:16:05.080				Unclassified	266					26									4	4	
UnInformative A	ANCAT112	M	ANCAT112	8/4/2012	329681		528	13:16:05.097				Unclassified	266					27									4	4	
UnInformative A	ANCAT112	M	ANCAT112	8/4/2012	329681		545	13:16:05.113				Unclassified	266					28									4	4	
UnInformative A	ANCAT112	M	ANCAT112	8/4/2012	329681		562	13:16:05.130				Unclassified	266					29									4	4	
UnInformative A	ANCAT112	M	ANCAT112	8/4/2012	329681		578	13:16:05.147				Unclassified	266					30									4	4	
UnInformative A	ANCAT112	M	ANCAT112	8/4/2012	329681		595	13:16:05.163				Unclassified	266					31									4	4	
UnInformative A	ANCAT112	M	ANCAT112	8/4/2012	329681		612	13:16:05.180				Unclassified	266					32									4	4	
